summary,text
writer_to_movie_to_IMDBRating,What is the IMDB rate of the movie writed by Person?
editor_to_movie_to_IMDBRating,What is the IMDB movie playback rate specified by Person?
editor_to_movie_to_IMDBRating,What is the IMDB rate of the movie ecited by Person?
composer_to_movie_to_IMDBRating,What is the IMDB rate of Person film creation?
composer_to_movie_to_IMDBRating,What is the IMDB rate of the movie composed by Person?
cinematographer_to_movie_to_IMDBRating,What is the IMDB rate of making movies in Person?
cinematographer_to_movie_to_IMDBRating,What is the IMDB rate of the movie photographed by Person?
production-designer_to_movie_to_IMDBRating,What is the IMDB rate of Person design films?
production-designer_to_movie_to_IMDBRating,What is the IMDB rate of the movie designed by Person?
actor_to_movie_to_casts,What is the cast of the film starring Person?
actor_to_movie_to_casts,What is the cast of the movie acted by Person?
director_to_movie_to_casts,What is the cast of the film directed by Person?
director_to_movie_to_casts,What is the cast of the movie directed by Person?
writer_to_movie_to_casts,What is the cast of the film written by Person?
writer_to_movie_to_casts,What is the cast of the movie writed by Person?
editor_to_movie_to_casts,What is the cast assigned by Person?
editor_to_movie_to_casts,What is the cast of the movie ecited by Person?
composer_to_movie_to_casts,What is the cast of the film created by Person?
composer_to_movie_to_casts,What is the cast of the movie composed by Person?
cinematographer_to_movie_to_casts,What is the cast of the film made by Person?
cinematographer_to_movie_to_casts,What is the cast of the movie photographed by Person?
production-designer_to_movie_to_casts,What is the cast of the film designed by Person?
production-designer_to_movie_to_casts,What is the cast of the movie designed by Person?
actor_to_movie_to_runtimeMinutes,What is the running time of Person's film?
actor_to_movie_to_runtimeMinutes,What is the runtime of the movie acted by Person?
actor_to_movie_to_runtimeMinutes,What is the length of the movie acted by Person?
director_to_movie_to_runtimeMinutes,What is the running time of Person director's film?
director_to_movie_to_runtimeMinutes,What is the runtime of the movie directed by Person?
director_to_movie_to_runtimeMinutes,What is the length of the movie directed by Person?
writer_to_movie_to_runtimeMinutes,What is the running time of the movie written by Person?
writer_to_movie_to_runtimeMinutes,What is the runtime of the movie writed by Person?
writer_to_movie_to_runtimeMinutes,What is the length of the movie writed by Person?
editor_to_movie_to_runtimeMinutes,What is the running time of the movie specified by Person?
editor_to_movie_to_runtimeMinutes,What is the runtime of the movie ecited by Person?
editor_to_movie_to_runtimeMinutes,What is the length of the movie ecited by Person?
composer_to_movie_to_runtimeMinutes,What is the running time of the movie created by Person?
composer_to_movie_to_runtimeMinutes,What is the runtime of the movie composed by Person?
composer_to_movie_to_runtimeMinutes,What is the length of the movie composed by Person?
cinematographer_to_movie_to_runtimeMinutes,What is the running time of Person films?
cinematographer_to_movie_to_runtimeMinutes,What is the runtime of the movie photographed by Person?
cinematographer_to_movie_to_runtimeMinutes,What is the length of the movie photographed by Person?
production-designer_to_movie_to_runtimeMinutes,What is the running time of the movie designed by Person?
production-designer_to_movie_to_runtimeMinutes,What is the runtime of the movie designed by Person?
production-designer_to_movie_to_runtimeMinutes,What is the length of the movie designed by Person?
actor_to_movie_to_release-date,When is the release date of the film starring Person?
actor_to_movie_to_release-date,What is the release date of the movie acted by Person?
actor_to_movie_to_release-date,When did the movie acted by Person released?
director_to_movie_to_release-date,When is the director's release date?
director_to_movie_to_release-date,What is the release date of the movie directed by Person?
director_to_movie_to_release-date,When did the movie directed by Person released?
writer_to_movie_to_release-date,When is the release date of the film written by Person?
writer_to_movie_to_release-date,What is the release date of the movie writed by Person?
writer_to_movie_to_release-date,When did the movie writed by Person released?
editor_to_movie_to_release-date,When is the release date of the film specified in Person?
editor_to_movie_to_release-date,What is the release date of the movie ecited by Person?
editor_to_movie_to_release-date,When did the movie ecited by Person released?
composer_to_movie_to_release-date,When is the release date of the film created by Person?
composer_to_movie_to_release-date,What is the release date of the movie composed by Person?
composer_to_movie_to_release-date,When did the movie composed by Person released?
cinematographer_to_movie_to_release-date,When is the release date of the film made in Person?
cinematographer_to_movie_to_release-date,What is the release date of the movie photographed by Person?
cinematographer_to_movie_to_release-date,When did the movie photographed by Person released?
production-designer_to_movie_to_release-date,When is the release date of Person design film?
production-designer_to_movie_to_release-date,What is the release date of the movie designed by Person?
production-designer_to_movie_to_release-date,When did the movie designed by Person released?
actor_to_movie_to_Color,What color is the film in Person?
actor_to_movie_to_Color,What is the color of the movie acted by Person?
director_to_movie_to_Color,What color is the film directed by Person?
director_to_movie_to_Color,What is the color of the movie directed by Person?
writer_to_movie_to_Color,What color is the movie written by Person?
writer_to_movie_to_Color,What is the color of the movie writed by Person?
editor_to_movie_to_Color,What is the movie color specified by Person?
editor_to_movie_to_Color,What is the color of the movie ecited by Person?
composer_to_movie_to_Color,What color is the film created by Person?
composer_to_movie_to_Color,What is the color of the movie composed by Person?
cinematographer_to_movie_to_Color,What color is the film made by Person?
cinematographer_to_movie_to_Color,What is the color of the movie photographed by Person?
production-designer_to_movie_to_Color,What color is the film designed by Person?
production-designer_to_movie_to_Color,What is the color of the movie designed by Person?
production_to_movie_to_DoubanRating,What is the rating of Company1 films?
production_to_movie_to_DoubanRating,What is the rating of the movie producted by Company1?
production_to_movie_to_DoubanRating,What is the average rate of the movie producted by Company1?
production_to_movie_to_DoubanRating,Company1 what is the average rate of making movies?
distributor_to_movie_to_DoubanRating,What is the rating of Company1 films?
distributor_to_movie_to_DoubanRating,What is the rating of the movie distributed by Company1?
distributor_to_movie_to_DoubanRating,What is the average rate of the movie distributed by Company1?
distributor_to_movie_to_DoubanRating,What is the average percentage of Company1 films released?
production_to_movie_to_IMDBRating,What is the IMDB rating of Company1 films?
production_to_movie_to_IMDBRating,What is the IMDB rating of the movie producted by Company1?
distributor_to_movie_to_IMDBRating,What is the IMDB rating of Company1 films?
distributor_to_movie_to_IMDBRating,What is the IMDB rating of the movie distributed by Company1?
production_to_movie_to_casts,What is the cast of the film produced by Company1?
production_to_movie_to_casts,What is the cast of the movie producted by Company1?
distributor_to_movie_to_casts,What is the cast of the film released by Company1?
distributor_to_movie_to_casts,What is the cast of the movie distributed by Company1?
production_to_movie_to_runtimeMinutes,What is the running time of the film produced by Company1?
production_to_movie_to_runtimeMinutes,What is the runtime of the movie producted by Company1?
production_to_movie_to_runtimeMinutes,What is the length of the movie producted by Company1?
distributor_to_movie_to_runtimeMinutes,What is the running time of Company1 released movie?
distributor_to_movie_to_runtimeMinutes,What is the runtime of the movie distributed by Company1?
distributor_to_movie_to_runtimeMinutes,What is the length of the movie distributed by Company1?
production_to_movie_to_release-date,When is the release date of the film produced by Company1?
production_to_movie_to_release-date,What is the release date of the movie producted by Company1?
distributor_to_movie_to_release-date,When is the release date of the film released by Company1?
distributor_to_movie_to_release-date,What is the release date of the movie distributed by Company1?
production_to_movie_to_Color,What color is the film made by Company1?
production_to_movie_to_Color,What is the color of the movie producted by Company1?
distributor_to_movie_to_Color,What color is the film released by Company1?
distributor_to_movie_to_Color,What is the color of the movie distributed by Company1?
director_to_movie_to_actor_to_primaryProfession,What is the occupation of the person who plays the film directed by Person?
director_to_movie_to_actor_to_primaryProfession,What is the profession of the person who acted the movie directed by Person?
writer_to_movie_to_actor_to_primaryProfession,What is the occupation of the person who plays the film written by Person?
writer_to_movie_to_actor_to_primaryProfession,What is the profession of the person who acted the movie writed by Person?
actor_to_movie_to_director_to_primaryProfession,What is the career of the film director starring Person?
actor_to_movie_to_director_to_primaryProfession,What is the profession of the person who directed the movie acted by Person?
writer_to_movie_to_director_to_primaryProfession,What is the career of the person who directed the film written by Person?
writer_to_movie_to_director_to_primaryProfession,What is the profession of the person who directed the movie writed by Person?
actor_to_movie_to_writer_to_primaryProfession,What is the profession of the author of the film starring Person?
actor_to_movie_to_writer_to_primaryProfession,What is the profession of the person who writed the movie acted by Person?
director_to_movie_to_writer_to_primaryProfession,What is the profession of the author of the film directed by Person?
director_to_movie_to_writer_to_primaryProfession,What is the profession of the person who writed the movie directed by Person?
director_to_movie_to_actor_to_Height,What is the height of the person who plays the film directed by Person?
director_to_movie_to_actor_to_Height,What is the height of the person who acted the movie directed by Person?
writer_to_movie_to_actor_to_Height,What is the height of the person who plays the movie written by Person?
writer_to_movie_to_actor_to_Height,What is the height of the person who acted the movie writed by Person?
actor_to_movie_to_director_to_Height,What is the height of the film starring director Person?
actor_to_movie_to_director_to_Height,What is the height of the person who directed the movie acted by Person?
writer_to_movie_to_director_to_Height,How tall is the person who directed the film written by Person?
writer_to_movie_to_director_to_Height,What is the height of the person who directed the movie writed by Person?
actor_to_movie_to_writer_to_Height,What is the height of the screenwriter of the film starring Person?
actor_to_movie_to_writer_to_Height,What is the height of the person who writed the movie acted by Person?
director_to_movie_to_writer_to_Height,What is the height of the screenwriter of the film directed by Person?
director_to_movie_to_writer_to_Height,What is the height of the person who writed the movie directed by Person?
director_to_movie_to_actor_to_Born,When is the birthday of the person who starred in the film directed by Person?
director_to_movie_to_actor_to_Born,What is the birthday of the person who acted the movie directed by Person?
director_to_movie_to_actor_to_Born,When is the birthday of the person who acted the movie directed by Person?
writer_to_movie_to_actor_to_Born,When is the birthday of the person who plays the movie written by Person?
writer_to_movie_to_actor_to_Born,What is the birthday of the person who acted the movie writed by Person?
writer_to_movie_to_actor_to_Born,When is the birthday of the person who acted the movie writed by Person?
actor_to_movie_to_director_to_Born,When is the birthday of the film director starring Person?
actor_to_movie_to_director_to_Born,What is the birthday of the person who directed the movie acted by Person?
actor_to_movie_to_director_to_Born,When is the birthday of the person who directed the movie acted by Person?
writer_to_movie_to_director_to_Born,What is the birthday of the person who directed the film Person?
writer_to_movie_to_director_to_Born,What is the birthday of the person who directed the movie writed by Person?
writer_to_movie_to_director_to_Born,When is the birthday of the person who directed the movie writed by Person?
actor_to_movie_to_writer_to_Born,What is the birthday of the author of the film starring Person?
actor_to_movie_to_writer_to_Born,What is the birthday of the person who writed the movie acted by Person?
actor_to_movie_to_writer_to_Born,When is the birthday of the person who writed the movie acted by Person?
director_to_movie_to_writer_to_Born,What is the birthday of the author of the film directed by Person?
director_to_movie_to_writer_to_Born,What is the birthday of the person who writed the movie directed by Person?
director_to_movie_to_writer_to_Born,When is the birthday of the person who writed the movie directed by Person?
director_to_movie_to_actor_to_Died,When is the birthday of the person who plays the film directed by Person?
director_to_movie_to_actor_to_Died,What is the deathday of the person who acted the movie directed by Person?
director_to_movie_to_actor_to_Died,When is the deathday of the person who acted the movie directed by Person?
writer_to_movie_to_actor_to_Died,When is the birthday of the person who plays the movie written by Person?
writer_to_movie_to_actor_to_Died,What is the deathday of the person who acted the movie writed by Person?
writer_to_movie_to_actor_to_Died,When is the deathday of the person who acted the movie writed by Person?
actor_to_movie_to_director_to_Died,When did the person in the film starring Person die?
actor_to_movie_to_director_to_Died,What is the deathday of the person who directed the movie acted by Person?
actor_to_movie_to_director_to_Died,When is the deathday of the person who directed the movie acted by Person?
writer_to_movie_to_director_to_Died,When did the person who directed the film Person die?
writer_to_movie_to_director_to_Died,What is the deathday of the person who directed the movie writed by Person?
writer_to_movie_to_director_to_Died,When is the deathday of the person who directed the movie writed by Person?
actor_to_movie_to_writer_to_Died,When did the screenwriter of the movie starring Person die?
actor_to_movie_to_writer_to_Died,What is the deathday of the person who writed the movie acted by Person?
actor_to_movie_to_writer_to_Died,When is the deathday of the person who writed the movie acted by Person?
director_to_movie_to_writer_to_Died,When did the screenwriter of the film directed by Person die?
director_to_movie_to_writer_to_Died,What is the deathday of the person who writed the movie directed by Person?
director_to_movie_to_writer_to_Died,When is the deathday of the person who writed the movie directed by Person?
director_to_movie_to_actor_to_Nicknames,What is the nickname of the person who plays the film directed by Person?
director_to_movie_to_actor_to_Nicknames,What is the nickname of the person who acted the movie directed by Person?
writer_to_movie_to_actor_to_Nicknames,What is the nickname of the person who plays the movie written by Person?
writer_to_movie_to_actor_to_Nicknames,What is the nickname of the person who acted the movie writed by Person?
actor_to_movie_to_director_to_Nicknames,What is the nickname of the person in the film starring director Person?
actor_to_movie_to_director_to_Nicknames,What is the nickname of the person who directed the movie acted by Person?
writer_to_movie_to_director_to_Nicknames,What is the nickname of the person in the film written by director Person?
writer_to_movie_to_director_to_Nicknames,What is the nickname of the person who directed the movie writed by Person?
actor_to_movie_to_writer_to_Nicknames,What is the nickname of the author of the film starring Person?
actor_to_movie_to_writer_to_Nicknames,What is the nickname of the person who writed the movie acted by Person?
director_to_movie_to_writer_to_Nicknames,What is the nickname of the author of the film directed by Person?
director_to_movie_to_writer_to_Nicknames,What is the nickname of the person who writed the movie directed by Person?
director_to_movie_to_actor_to_trivia,What is the trivia of the person who plays the film directed by Person?
director_to_movie_to_actor_to_trivia,What is the trivia of the person who acted the movie directed by Person?
writer_to_movie_to_actor_to_trivia,What is the trivia of the person who plays the movie written by Person?
writer_to_movie_to_actor_to_trivia,What is the trivia of the person who acted the movie writed by Person?
actor_to_movie_to_director_to_trivia,What trivia does the director of the movie starring Person have?
actor_to_movie_to_director_to_trivia,What is the trivia of the person who directed the movie acted by Person?
writer_to_movie_to_director_to_trivia,What is the trivia of the people in the film written by director Person?
writer_to_movie_to_director_to_trivia,What is the trivia of the person who directed the movie writed by Person?
actor_to_movie_to_writer_to_trivia,What are the chores of the screenwriter of the movie starring Person?
actor_to_movie_to_writer_to_trivia,What is the trivia of the person who writed the movie acted by Person?
director_to_movie_to_writer_to_trivia,What trivia does the author of the Person directed film have?
director_to_movie_to_writer_to_trivia,What is the trivia of the person who writed the movie directed by Person?
director_to_movie_to_actor_to_trade-mark,What is the trademark of the person who plays the film directed by Person?
director_to_movie_to_actor_to_trade-mark,What is the trade mark of the person who acted the movie directed by Person?
writer_to_movie_to_actor_to_trade-mark,What is the trademark of the person who plays the film written by Person?
writer_to_movie_to_actor_to_trade-mark,What is the trade mark of the person who acted the movie writed by Person?
actor_to_movie_to_director_to_trade-mark,What is the trademark of the film director starring Person?
actor_to_movie_to_director_to_trade-mark,What is the trade mark of the person who directed the movie acted by Person?
writer_to_movie_to_director_to_trade-mark,What is the trademark of the person who wrote the film by director Person?
writer_to_movie_to_director_to_trade-mark,What is the trade mark of the person who directed the movie writed by Person?
actor_to_movie_to_writer_to_trade-mark,What is the trademark of the author of the film starring Person?
actor_to_movie_to_writer_to_trade-mark,What is the trade mark of the person who writed the movie acted by Person?
director_to_movie_to_writer_to_trade-mark,What is the trademark of the author of the film directed by Person?
director_to_movie_to_writer_to_trade-mark,What is the trade mark of the person who writed the movie directed by Person?
production_to_movie_to_actor_to_primaryProfession,What is the profession of the person who plays the film made by Company1?
production_to_movie_to_actor_to_primaryProfession,What is the profession of the person who acted the movie producted by Company1?
distributor_to_movie_to_actor_to_primaryProfession,What is the profession of the person who plays the film released by Company1?
distributor_to_movie_to_actor_to_primaryProfession,What is the profession of the person who acted the movie distributed by Company1?
production_to_movie_to_director_to_primaryProfession,What is the profession of the person who directs the films made by Company1?
production_to_movie_to_director_to_primaryProfession,What is the profession of the person who directed the movie producted by Company1?
distributor_to_movie_to_director_to_primaryProfession,What is the profession of the person who directs the films released by Company1?
distributor_to_movie_to_director_to_primaryProfession,What is the profession of the person who directed the movie distributed by Company1?
production_to_movie_to_writer_to_primaryProfession,What is the profession of the author of Company1 films?
production_to_movie_to_writer_to_primaryProfession,What is the profession of the person who writed the movie producted by Company1?
distributor_to_movie_to_writer_to_primaryProfession,What is the profession of the author of Company1 films?
distributor_to_movie_to_writer_to_primaryProfession,What is the profession of the person who writed the movie distributed by Company1?
production_to_movie_to_actor_to_Height,What is the height of the person who plays the film made by Company1?
production_to_movie_to_actor_to_Height,What is the height of the person who acted the movie producted by Company1?
distributor_to_movie_to_actor_to_Height,What is the height of the actor in the Company1 release?
distributor_to_movie_to_actor_to_Height,What is the height of the person who acted the movie distributed by Company1?
production_to_movie_to_director_to_Height,What is the height of the film director made by Company1?
production_to_movie_to_director_to_Height,What is the height of the person who directed the movie producted by Company1?
distributor_to_movie_to_director_to_Height,What is the height of the director of the Company1 release?
distributor_to_movie_to_director_to_Height,What is the height of the person who directed the movie distributed by Company1?
production_to_movie_to_writer_to_Height,What is the height of the author of the Company1 film?
production_to_movie_to_writer_to_Height,What is the height of the person who writed the movie producted by Company1?
distributor_to_movie_to_writer_to_Height,What is the height of the author of the Company1 release?
distributor_to_movie_to_writer_to_Height,What is the height of the person who writed the movie distributed by Company1?
production_to_movie_to_actor_to_Born,When is the birthday of the person who plays the film made by Company1?
production_to_movie_to_actor_to_Born,What is the birthday of the person who acted the movie producted by Company1?
production_to_movie_to_actor_to_Born,When is the birthday of the person who acted the movie producted by Company1?
distributor_to_movie_to_actor_to_Born,When is the birthday of the actor in the Company1 release?
distributor_to_movie_to_actor_to_Born,What is the birthday of the person who acted the movie distributed by Company1?
distributor_to_movie_to_actor_to_Born,When is the birthday of the person who acted the movie distributed by Company1?
production_to_movie_to_director_to_Born,When is the birthday of the film director made by Company1?
production_to_movie_to_director_to_Born,What is the birthday of the person who directed the movie producted by Company1?
production_to_movie_to_director_to_Born,When is the birthday of the person who directed the movie producted by Company1?
distributor_to_movie_to_director_to_Born,When is the birthday of the director of the Company1 release film?
distributor_to_movie_to_director_to_Born,What is the birthday of the person who directed the movie distributed by Company1?
distributor_to_movie_to_director_to_Born,When is the birthday of the person who directed the movie distributed by Company1?
production_to_movie_to_writer_to_Born,What is the birthday of the author of the Company1 movie?
production_to_movie_to_writer_to_Born,What is the birthday of the person who writed the movie producted by Company1?
production_to_movie_to_writer_to_Born,When is the birthday of the person who writed the movie producted by Company1?
distributor_to_movie_to_writer_to_Born,What is the birthday of the author of the Company1 release?
distributor_to_movie_to_writer_to_Born,What is the birthday of the person who writed the movie distributed by Company1?
distributor_to_movie_to_writer_to_Born,When is the birthday of the person who writed the movie distributed by Company1?
production_to_movie_to_actor_to_Died,When is the birthday of the person who plays the film made by Company1?
production_to_movie_to_actor_to_Died,What is the deathday of the person who acted the movie producted by Company1?
production_to_movie_to_actor_to_Died,When is the deathday of the person who acted the movie producted by Company1?
distributor_to_movie_to_actor_to_Died,When is the starring day of the film released by Company1?
distributor_to_movie_to_actor_to_Died,What is the deathday of the person who acted the movie distributed by Company1?
distributor_to_movie_to_actor_to_Died,When is the deathday of the person who acted the movie distributed by Company1?
production_to_movie_to_director_to_Died,When did the director of the Company1 film die?
production_to_movie_to_director_to_Died,What is the deathday of the person who directed the movie producted by Company1?
production_to_movie_to_director_to_Died,When is the deathday of the person who directed the movie producted by Company1?
distributor_to_movie_to_director_to_Died,On what day did the director of the film released by Company1 die?
distributor_to_movie_to_director_to_Died,What is the deathday of the person who directed the movie distributed by Company1?
distributor_to_movie_to_director_to_Died,When is the deathday of the person who directed the movie distributed by Company1?
production_to_movie_to_writer_to_Died,When did the screenwriter of the Company1 movie die?
production_to_movie_to_writer_to_Died,What is the deathday of the person who writed the movie producted by Company1?
production_to_movie_to_writer_to_Died,When is the deathday of the person who writed the movie producted by Company1?
distributor_to_movie_to_writer_to_Died,When did the author of the film released by Company1 die?
distributor_to_movie_to_writer_to_Died,What is the deathday of the person who writed the movie distributed by Company1?
distributor_to_movie_to_writer_to_Died,When is the deathday of the person who writed the movie distributed by Company1?
production_to_movie_to_actor_to_Nicknames,What is the nickname of the person who plays the film made by Company1?
production_to_movie_to_actor_to_Nicknames,What is the nickname of the person who acted the movie producted by Company1?
distributor_to_movie_to_actor_to_Nicknames,What is the nickname of the actor in the Company1 release?
distributor_to_movie_to_actor_to_Nicknames,What is the nickname of the person who acted the movie distributed by Company1?
production_to_movie_to_director_to_Nicknames,What is the nickname of the person who made the film by director Company1?
production_to_movie_to_director_to_Nicknames,What is the nickname of the person who directed the movie producted by Company1?
distributor_to_movie_to_director_to_Nicknames,What is the nickname of the person who directed the film released by Company1?
distributor_to_movie_to_director_to_Nicknames,What is the nickname of the person who directed the movie distributed by Company1?
production_to_movie_to_writer_to_Nicknames,What is the nickname of the author of the Company1 film?
production_to_movie_to_writer_to_Nicknames,What is the nickname of the person who writed the movie producted by Company1?
distributor_to_movie_to_writer_to_Nicknames,What is the nickname of the author of the Company1 release?
distributor_to_movie_to_writer_to_Nicknames,What is the nickname of the person who writed the movie distributed by Company1?
production_to_movie_to_actor_to_trivia,What are the trivia of the leading actor in Company1 films?
production_to_movie_to_actor_to_trivia,What is the trivia of the person who acted the movie producted by Company1?
distributor_to_movie_to_actor_to_trivia,What are the trivia of the leading actor in the Company1 release?
distributor_to_movie_to_actor_to_trivia,What is the trivia of the person who acted the movie distributed by Company1?
production_to_movie_to_director_to_trivia,What is the trivia of the director of the Company1 film?
production_to_movie_to_director_to_trivia,What is the trivia of the person who directed the movie producted by Company1?
distributor_to_movie_to_director_to_trivia,What is the trivia of the person who directed the film released by Company1?
distributor_to_movie_to_director_to_trivia,What is the trivia of the person who directed the movie distributed by Company1?
production_to_movie_to_writer_to_trivia,What trivia does the author of Company1's film have?
production_to_movie_to_writer_to_trivia,What is the trivia of the person who writed the movie producted by Company1?
distributor_to_movie_to_writer_to_trivia,What is the trivia of the author of the Company1 release?
distributor_to_movie_to_writer_to_trivia,What is the trivia of the person who writed the movie distributed by Company1?
production_to_movie_to_actor_to_trade-mark,What is the trademark of the actor in the Company1 film?
production_to_movie_to_actor_to_trade-mark,What is the trade mark of the person who acted the movie producted by Company1?
distributor_to_movie_to_actor_to_trade-mark,What is the trademark of the film actors released by Company1?
distributor_to_movie_to_actor_to_trade-mark,What is the trade mark of the person who acted the movie distributed by Company1?
production_to_movie_to_director_to_trade-mark,What is the trademark of the person who made the film by director Company1?
production_to_movie_to_director_to_trade-mark,What is the trade mark of the person who directed the movie producted by Company1?
distributor_to_movie_to_director_to_trade-mark,What is the trademark of the film director released by Company1?
distributor_to_movie_to_director_to_trade-mark,What is the trade mark of the person who directed the movie distributed by Company1?
production_to_movie_to_writer_to_trade-mark,What is the trademark of the author of the film produced by Company1?
production_to_movie_to_writer_to_trade-mark,What is the trade mark of the person who writed the movie producted by Company1?
distributor_to_movie_to_writer_to_trade-mark,What is the trademark of the author of the film released by Company1?
distributor_to_movie_to_writer_to_trade-mark,What is the trade mark of the person who writed the movie distributed by Company1?
movie_to_actor_to_movie_to_DoubanRating,What is the grade of the film performed by Movie actor?
movie_to_actor_to_movie_to_DoubanRating,What is the rating of the movie acted by the actor of Movie?
movie_to_actor_to_movie_to_DoubanRating,What is the average rate of the movie acted by the actor of Movie?
movie_to_actor_to_movie_to_DoubanRating,What is the average percentage of Movie actors performing in movies?
movie_to_director_to_movie_to_DoubanRating,What is the rating of the film directed by director Movie?
movie_to_director_to_movie_to_DoubanRating,What is the rating of the movie directed by the director of Movie?
movie_to_director_to_movie_to_DoubanRating,What is the average rate of the movie directed by the director of Movie?
movie_to_director_to_movie_to_DoubanRating,What is the average release rate of films directed by Movie director?
movie_to_writer_to_movie_to_DoubanRating,What is the score of the film written by the author of Movie?
movie_to_writer_to_movie_to_DoubanRating,What is the rating of the movie writed by the writer of Movie?
movie_to_writer_to_movie_to_DoubanRating,What is the average rate of the movie writed by the writer of Movie?
movie_to_writer_to_movie_to_DoubanRating,What is the average rate at which Movie authors write movies?
movie_to_editor_to_movie_to_DoubanRating,What do the Movie editors say about the film?
movie_to_editor_to_movie_to_DoubanRating,What is the rating of the movie ecited by the editor of Movie?
movie_to_editor_to_movie_to_DoubanRating,What is the average rate of the movie ecited by the editor of Movie?
movie_to_editor_to_movie_to_DoubanRating,What is the average movie release rate assigned by Movie's editors?
movie_to_composer_to_movie_to_DoubanRating,What is the score of the film created by Movie composer?
movie_to_composer_to_movie_to_DoubanRating,What is the rating of the movie composed by the composer of Movie?
movie_to_composer_to_movie_to_DoubanRating,What is the average rate of the movie composed by the composer of Movie?
movie_to_composer_to_movie_to_DoubanRating,What is the average rate of films produced by Movie composers?
movie_to_cinematographer_to_movie_to_DoubanRating,Movie what is the rating of the film made by the cinematographer?
movie_to_cinematographer_to_movie_to_DoubanRating,What is the rating of the movie photographed by the cinematographer of Movie?
movie_to_cinematographer_to_movie_to_DoubanRating,What is the average rate of the movie photographed by the cinematographer of Movie?
movie_to_cinematographer_to_movie_to_DoubanRating,What is the average percentage of Movie photographers shooting films?
movie_to_production-designer_to_movie_to_DoubanRating,What is the score of the film designed by Movie production designer?
movie_to_production-designer_to_movie_to_DoubanRating,What is the rating of the movie designed by the production designer of Movie?
movie_to_production-designer_to_movie_to_DoubanRating,What is the average rate of the movie designed by the production designer of Movie?
movie_to_production-designer_to_movie_to_DoubanRating,What is the average rate at which Movie's production designers design films?
movie_to_actor_to_movie_to_IMDBRating,What is the IMDB percentage of Movie actors performing in movies?
movie_to_actor_to_movie_to_IMDBRating,What is the IMDB rate of the movie acted by the actor of Movie?
movie_to_director_to_movie_to_IMDBRating,What is the IMDB release rate of films directed by Movie director?
movie_to_director_to_movie_to_IMDBRating,What is the IMDB rate of the movie directed by the director of Movie?
movie_to_writer_to_movie_to_IMDBRating,What is the IMDB rate at which Movie authors write movies?
movie_to_writer_to_movie_to_IMDBRating,What is the IMDB rate of the movie writed by the writer of Movie?
movie_to_editor_to_movie_to_IMDBRating,What is the IMDB movie release rate assigned by Movie's editors?
movie_to_editor_to_movie_to_IMDBRating,What is the IMDB rate of the movie ecited by the editor of Movie?
movie_to_composer_to_movie_to_IMDBRating,What is the IMDB rate of films produced by Movie composers?
movie_to_composer_to_movie_to_IMDBRating,What is the IMDB rate of the movie composed by the composer of Movie?
movie_to_cinematographer_to_movie_to_IMDBRating,What is the IMDB percentage of Movie photographers shooting films?
movie_to_cinematographer_to_movie_to_IMDBRating,What is the IMDB rate of the movie photographed by the cinematographer of Movie?
movie_to_production-designer_to_movie_to_IMDBRating,What is the IMDB rate at which Movie's production designers design films?
movie_to_production-designer_to_movie_to_IMDBRating,What is the IMDB rate of the movie designed by the production designer of Movie?
movie_to_actor_to_movie_to_casts,What role do Movie's actors play in this film?
movie_to_actor_to_movie_to_casts,What is the cast of the movie acted by the actor of Movie?
movie_to_director_to_movie_to_casts,What is the cast of this film directed by Movie?
movie_to_director_to_movie_to_casts,What is the cast of the movie directed by the director of Movie?
movie_to_writer_to_movie_to_casts,What is the cast of the film written by the author of Movie?
movie_to_writer_to_movie_to_casts,What is the cast of the movie writed by the writer of Movie?
movie_to_editor_to_movie_to_casts,The actors in this film were appointed by the Movie editor?
movie_to_editor_to_movie_to_casts,What is the cast of the movie ecited by the editor of Movie?
movie_to_composer_to_movie_to_casts,What is the cast of this film by Movie composer?
movie_to_composer_to_movie_to_casts,What is the cast of the movie composed by the composer of Movie?
movie_to_cinematographer_to_movie_to_casts,What is the cast of the film made by Movie's photographer?
movie_to_cinematographer_to_movie_to_casts,What is the cast of the movie photographed by the cinematographer of Movie?
movie_to_production-designer_to_movie_to_casts,What is the cast of this film designed by the production designer of Movie?
movie_to_production-designer_to_movie_to_casts,What is the cast of the movie designed by the production designer of Movie?
movie_to_actor_to_movie_to_runtimeMinutes,What is the running time of the movie performed by Movie's actors?
movie_to_actor_to_movie_to_runtimeMinutes,What is the runtime of the movie acted by the actor of Movie?
movie_to_actor_to_movie_to_runtimeMinutes,What is the length of the movie acted by the actor of Movie?
movie_to_director_to_movie_to_runtimeMinutes,What is the running time of the film directed by director Movie?
movie_to_director_to_movie_to_runtimeMinutes,What is the runtime of the movie directed by the director of Movie?
movie_to_director_to_movie_to_runtimeMinutes,What is the length of the movie directed by the director of Movie?
movie_to_writer_to_movie_to_runtimeMinutes,What is the running time of the movie written by the author of Movie?
movie_to_writer_to_movie_to_runtimeMinutes,What is the runtime of the movie writed by the writer of Movie?
movie_to_writer_to_movie_to_runtimeMinutes,What is the length of the movie writed by the writer of Movie?
movie_to_editor_to_movie_to_runtimeMinutes,What is the running time of the movie specified by the Movie editor?
movie_to_editor_to_movie_to_runtimeMinutes,What is the runtime of the movie ecited by the editor of Movie?
movie_to_editor_to_movie_to_runtimeMinutes,What is the length of the movie ecited by the editor of Movie?
